,INTERCOLUMNAR_DISTANCE,UPPER_MARGIN,LOWER_MARGIN,EXPLOITATION,MODULAR_RATIO,INTERLINEAR_SPACING,WEIGHT,PEAK_NUMBER,CLASS
113,-0.363462,-0.189174,0.641057,0.681245,0.107265,-0.006326,0.672646,0.594169,C
114,0.080916,0.313302,0.079145,0.588985,0.522513,0.144676,-0.318084,-0.341275,F
115,-0.363462,0.23479,0.000904,0.759778,0.024215,0.55993,0.463115,0.531806,G
117,0.142636,-0.377602,0.328093,-0.039583,0.190314,0.597681,-0.823408,-0.746634,F
118,-0.264711,-0.09496,0.01513,-0.597346,0.273364,0.710932,-1.110465,-0.43482,E
119,-0.054866,0.580242,0.032912,-0.016668,0.854712,0.031425,0.445486,0.219991,A
122,0.15498,-0.189174,0.246296,-1.223587,0.896237,0.106925,1.306287,0.126447,A
123,0.117948,-0.291239,0.306755,0.255993,0.813187,0.371178,-0.526178,0.219991,A
124,-0.00549,-0.660245,0.345875,-0.270589,1.145386,0.144676,-1.140287,-0.278912,A
125,0.303106,0.352558,0.082701,0.703981,-0.349509,0.220177,0.597314,-0.185368,F
126,0.229043,-0.008597,0.175168,0.087408,-0.723232,0.106925,0.031724,-0.310094,A
128,-0.091897,0.344707,0.182281,0.722749,1.35301,-0.006326,-0.943163,0.313536,H
134,0.130292,-0.157769,0.577041,-0.670986,-0.847807,0.55993,0.543903,0.594169,C
135,0.229043,-0.354049,0.182281,0.210878,0.564038,0.484429,-0.019785,-0.091823,A
137,0.364825,-0.047852,-0.038216,0.327813,-0.307984,0.182426,0.860742,0.095265,A
138,0.377169,0.014957,0.381439,0.292753,-0.930856,0.220177,1.368572,1.217798,H
141,0.117948,-0.29909,0.473906,-0.204438,0.231839,0.635431,-0.302124,0.126447,A
142,0.142636,-0.369751,0.413447,0.301347,-0.224934,0.333428,0.558192,-0.247731,F
145,0.117948,0.289748,0.392108,-1.747095,1.186911,0.144676,0.573996,-0.590727,A
146,-0.22768,-0.503221,0.406334,-0.671732,-0.224934,0.484429,0.596634,0.251173,E
150,0.080916,0.014957,0.064919,0.346104,0.522513,0.408929,0.030715,0.064084,A
151,-0.363462,-0.008597,0.256965,-0.22634,0.937762,-0.270579,1.495568,1.280161,E
153,0.241386,-0.322644,0.28186,0.274612,-0.806282,0.597681,1.027948,0.375899,F
154,-0.128929,0.383963,0.23207,1.248675,1.311485,0.371178,0.037179,-0.559546,A
157,-0.030178,-0.189174,0.242739,-0.408799,-1.22153,-0.044076,-0.831252,-0.154186,F
158,0.266074,0.556689,-0.020434,0.176624,-0.557133,0.408929,0.467308,0.562987,G
163,-0.104241,-0.197025,0.221401,0.17367,0.854712,-0.119577,-0.536352,-0.247731,F
164,0.080916,-0.244132,0.45968,0.426726,0.356414,0.748682,0.14177,0.251173,A
169,0.377169,-0.079257,0.153829,-1.102952,-0.266459,0.106925,0.886448,-0.715453,A
170,0.043885,0.195534,0.260522,-0.393821,0.522513,0.220177,-0.08141,0.344717,G
174,-0.042522,-0.3619,0.470349,-0.310721,-0.681707,0.106925,-0.386368,-0.715453,F
176,-0.240024,0.117022,0.235627,0.902912,-0.01731,0.257927,1.136519,1.124254,E
177,0.266074,0.580242,0.114709,-0.165469,-0.058835,0.446679,-0.545749,-0.278912,A
180,0.15498,-0.471816,0.50947,1.205082,0.231839,0.55993,0.618166,-0.372457,A
181,0.080916,-0.071406,0.160942,1.225521,-0.515608,0.144676,0.713341,0.064084,A
183,0.192011,-0.03215,0.452567,-0.877078,-0.640182,0.408929,-1.567834,-0.559546,A
185,-0.38815,0.321153,0.107596,0.886232,0.771662,0.408929,0.503946,-0.060642,F
186,0.438888,0.289748,0.14316,-0.282494,-0.307984,0.371178,-0.349206,0.18881,A
187,0.142636,-0.448263,0.438342,0.978909,1.643684,-0.044076,-0.621721,-0.43482,F
189,0.278418,-0.197025,0.239183,-0.73839,0.854712,0.635431,-1.484037,-0.216549,F
190,0.266074,0.556689,-0.020434,0.176624,-0.847807,0.446679,1.085185,0.594169,G
192,-0.054866,0.203385,0.05425,-0.028782,1.394535,0.144676,-0.847871,-0.091823,G
195,0.229043,0.807926,-0.052442,0.082634,-0.764757,0.371178,0.497286,-0.091823,F
201,-0.338774,-0.291239,0.520139,1.054429,-0.10036,-0.270579,1.123219,0.219991,E
202,-0.153617,-0.22843,0.488131,0.580183,0.480988,0.333428,1.022085,0.032902,A
204,-0.338774,-0.291239,0.520139,1.054429,1.26996,0.257927,0.264981,0.438262,E
205,0.142636,0.486028,0.100483,-0.448543,0.231839,0.220177,0.028909,0.469443,A
206,0.056229,-0.291239,0.239183,0.767954,0.688613,0.069175,0.172253,-0.029461,A
208,0.290762,-0.181323,0.441898,-1.339925,-0.515608,0.182426,-0.677133,0.064084,F
212,0.167323,-0.322644,0.306755,-0.543548,-0.764757,0.106925,-0.03922,-0.247731,F
218,0.068573,-0.016448,0.274747,-0.03633,-0.598658,0.182426,-0.128298,0.687713,H
219,0.290762,0.156278,0.136047,1.401386,-0.224934,-0.044076,0.668239,0.001721,A
221,0.080916,-0.291239,0.356544,0.226662,-0.723232,0.333428,-0.245878,-0.808997,F
222,0.179667,-0.212727,0.132491,-1.306507,0.397939,0.673182,0.852413,0.375899,A
223,0.080916,0.203385,0.310311,0.26951,-0.183409,0.257927,0.590208,0.126447,H
224,0.130292,-0.157769,0.577041,-0.670986,-0.806282,0.333428,-1.029658,-0.777816,C
225,0.031541,-0.118513,0.374326,-0.066706,0.439463,0.144676,-0.616323,0.438262,A
226,0.229043,-0.181323,0.23207,-0.893459,-1.180006,-0.119577,0.212948,0.375899,F
227,0.117948,0.23479,0.050694,0.220456,-0.515608,0.333428,-0.493521,-0.621908,A
228,0.130292,-0.314793,0.417003,1.051058,1.685209,0.937434,0.015434,-0.060642,A
229,-0.042522,-0.3619,0.470349,-0.310721,-1.096956,-0.119577,0.506528,0.251173,F
231,-0.06721,0.336855,0.221401,-0.311258,0.896237,0.031425,-0.258769,-0.123005,G
232,-0.00549,0.611647,0.022242,1.012179,0.231839,0.484429,1.097008,0.219991,A
234,-0.190648,-0.691649,0.28186,-0.194472,-0.10036,0.408929,0.136742,1.24898,E
235,0.266074,0.211237,0.114709,0.937882,1.228436,0.371178,0.889069,-0.372457,A
236,-0.128929,0.069915,0.313868,0.510511,0.854712,0.371178,-0.151053,0.313536,H
237,0.241386,-0.322644,0.310311,0.49055,0.397939,0.408929,0.538214,-0.060642,A
239,0.179667,-0.173471,0.121822,-1.139205,-1.138481,0.144676,-1.026357,-0.528364,A
240,-0.06721,0.336855,0.221401,-0.311258,-0.557133,0.295677,0.959489,0.313536,G
242,-0.104241,-0.456114,0.484575,0.143802,-0.058835,0.220177,-0.083953,-0.87136,F
243,-0.462213,0.352558,0.150273,0.56049,1.394535,-0.044076,-0.5075,0.032902,E
244,0.340137,0.399665,0.207175,-0.724993,-0.847807,-0.006326,-0.547204,0.157628,A
245,0.080916,-0.244132,0.214288,-0.37914,0.024215,0.55993,-0.818224,-0.964905,F
249,-0.091897,-0.118513,0.189393,1.280303,0.813187,0.069175,0.254399,-1.058449,A
250,-0.437525,0.423218,0.388552,0.620852,-0.640182,0.257927,1.156245,0.438262,E
251,0.229043,-0.22843,0.324537,-0.869141,-0.972381,0.106925,-0.408171,0.095265,F
252,0.167323,0.117022,0.047137,-0.174809,0.647088,0.257927,-0.848726,-0.466001,A
254,-0.017834,-0.330495,0.488131,-0.183313,-0.972381,-0.044076,-0.627798,-0.590727,F
255,0.117948,0.627349,0.075589,0.831628,1.477585,0.408929,-0.224326,-0.091823,A
258,0.303106,0.022808,0.146717,-1.815842,-0.681707,0.257927,-1.252469,-0.403638,A
259,0.068573,0.289748,0.107596,1.267115,1.103861,0.069175,1.3198,-0.247731,A
261,-0.560964,0.329004,0.296086,0.755571,-0.432558,-0.119577,1.540262,0.812439,E
262,0.216699,0.2976,0.249852,-0.041313,-0.806282,-0.044076,0.760889,0.531806,A
265,0.019197,0.525284,0.068476,0.166658,-0.349509,0.144676,0.166505,0.18881,F
267,0.130292,-0.212727,0.324537,0.386474,0.06574,0.635431,0.324508,-0.029461,F
268,0.15498,-0.275537,0.417003,0.813815,-0.515608,0.333428,0.733145,0.344717,A
269,-0.042522,-0.463965,0.392108,0.22699,-0.681707,0.52218,0.393938,-0.278912,E
270,-0.16596,-0.267686,0.256965,0.051662,0.14879,0.446679,0.434555,-0.123005,A
271,0.327793,0.50173,0.050694,-1.018301,-0.474083,0.673182,-0.35109,-0.247731,G
272,0.105604,0.289748,0.171611,-0.220044,-0.806282,0.446679,0.217258,-0.060642,A
278,0.043885,0.407516,0.047137,0.460921,-0.681707,-0.044076,0.76883,0.095265,F
279,0.377169,0.179832,0.064919,-1.533962,0.314889,0.371178,-0.477814,-0.403638,A
284,0.266074,0.580242,0.114709,-0.165469,-0.640182,0.371178,0.598149,0.219991,A
285,0.229043,0.124874,0.182281,0.686496,0.564038,0.673182,0.354719,-0.123005,A
289,0.204355,-0.275537,0.360101,-0.278884,-0.598658,0.257927,0.730601,0.18881,A
291,0.192011,0.085618,0.278304,-1.347355,-0.681707,0.220177,0.178019,-0.060642,F
292,0.117948,0.23479,0.050694,0.220456,1.477585,0.182426,-1.14949,-0.621908,A
297,-0.560964,0.329004,0.296086,0.755571,0.688613,0.182426,0.568599,0.843621,E
298,0.043885,0.572391,0.00446,-0.3331,-0.806282,0.333428,1.148129,0.937165,G
300,-0.104241,-0.079257,0.011573,0.220903,0.107265,-0.195078,0.104512,0.469443,A
304,-0.437525,0.423218,0.388552,0.620852,0.107265,0.295677,1.897021,1.03071,E
305,-0.030178,-0.063555,0.285416,-1.278877,-0.681707,0.106925,1.763714,0.344717,F
306,-0.190648,-0.063555,0.441898,1.289493,0.688613,0.333428,-0.202329,-0.216549,E
307,0.15498,0.289748,0.207175,-0.007298,-0.806282,0.106925,0.654725,0.157628,G
311,-0.178304,0.258344,-0.12357,0.228303,0.314889,0.786433,0.619914,0.344717,F
314,-0.017834,-0.354049,0.42056,-0.176032,-0.640182,0.220177,-0.932057,-0.715453,F
315,-0.215336,-0.142067,0.096927,-0.184417,-1.30458,0.295677,-1.416529,-0.43482,E
318,0.15498,-0.275537,0.417003,0.813815,0.356414,0.446679,0.494995,0.219991,A
319,0.006853,-0.267686,0.40989,0.565443,0.813187,0.55993,-0.53606,0.032902,F
322,-0.314087,-0.236281,0.029355,0.460861,1.103861,-0.044076,0.137635,0.282354,A
323,-0.017834,0.23479,-0.180472,0.621032,0.647088,0.484429,0.445583,0.157628,F
325,-0.104241,-0.338346,0.384996,-0.096275,-0.224934,0.446679,-0.249217,-0.216549,E
326,0.266074,0.580242,0.114709,-0.165469,-0.723232,0.597681,0.419644,-0.123005,A
328,-0.597995,-0.071406,0.352988,0.220844,1.560634,0.220177,-0.844319,0.126447,E
329,0.080916,-0.244132,0.214288,-0.37914,0.107265,0.295677,0.188193,0.438262,F
330,0.068573,-0.087108,0.470349,-0.099617,-0.01731,0.861934,0.26036,0.313536,A
332,0.167323,0.117022,0.047137,-0.174809,0.771662,0.861934,-0.629371,-0.278912,A
333,0.327793,0.336855,-0.020434,1.086893,0.896237,0.144676,0.481482,0.157628,A
335,0.043885,-0.079257,0.061363,0.565085,0.024215,-0.006326,0.388036,-0.247731,A
336,0.068573,-0.087108,0.470349,-0.099617,0.522513,0.220177,-0.427547,-0.091823,A
340,0.080916,0.203385,0.249852,-0.423061,-1.470679,0.295677,0.07106,0.375899,H
343,0.438888,0.289748,0.14316,-0.282494,-0.391033,-0.006326,0.559939,0.18881,A
344,0.09326,0.10132,0.313868,0.756586,0.688613,0.257927,1.137451,0.18881,A
345,-0.091897,0.2976,0.079145,0.196496,-0.307984,0.182426,0.625331,0.344717,F
346,-0.091897,-0.071406,0.537921,-1.178561,0.647088,0.52218,-0.401764,0.095265,E
347,0.105604,0.289748,0.171611,-0.220044,-0.391033,0.257927,0.350408,0.126447,A
350,-0.042522,-0.463965,0.392108,0.22699,1.228436,0.597681,-0.44772,0.500624,E
351,-0.22768,0.250492,0.207175,-0.481276,-1.180006,-0.081827,1.116346,0.594169,E
353,0.019197,-0.040001,0.288973,-0.042597,0.190314,0.408929,-0.065799,-0.497183,F
355,0.377169,0.179832,0.064919,-1.533962,1.394535,0.748682,-0.91369,-0.278912,A
357,0.15498,-0.385453,0.381439,0.314237,-0.598658,-0.006326,0.35666,-0.372457,F
358,-0.375806,-0.275537,0.449011,0.55685,-0.640182,0.182426,0.531573,-0.403638,D
359,0.031541,0.666605,-0.095119,0.010217,-0.432558,0.52218,0.999854,0.562987,G
363,0.019197,-0.040001,0.288973,-0.042597,-0.307984,0.748682,-0.431528,0.251173,F
364,0.229043,-0.000745,0.171611,-0.002793,0.605563,0.371178,-0.74497,-0.154186,A
365,-0.091897,-0.071406,0.537921,-1.178561,-0.141884,0.408929,1.278271,0.812439,E
367,0.142636,0.164129,0.200063,-0.249732,-0.889332,0.069175,0.356874,0.469443,A
368,0.15498,-0.3619,0.40989,-0.171945,-0.972381,0.408929,-0.560291,-0.466001,F
375,0.266074,0.415367,0.089814,-0.68501,-0.01731,0.144676,0.259448,0.812439,G
376,0.216699,0.2976,0.249852,-0.041313,-0.224934,-0.044076,0.263661,0.001721,A
381,-0.042522,-0.322644,0.310311,0.287293,0.564038,0.220177,-0.133967,-0.154186,F
382,0.15498,-0.040001,0.363657,1.200934,0.730137,0.220177,-1.121163,-1.027268,A
383,-0.042522,-0.110662,0.40989,1.097277,0.937762,0.748682,0.829056,0.562987,A
385,-0.00549,0.305451,0.018686,-0.04009,-0.557133,-0.081827,0.144605,-0.497183,A
386,-0.560964,0.329004,0.296086,0.755571,0.231839,0.220177,1.121084,0.874802,E
390,0.056229,-0.063555,0.310311,-1.048885,0.024215,0.069175,0.647542,0.095265,F
391,0.25373,0.219088,0.14316,0.720541,-0.141884,0.106925,0.87412,0.219991,A
392,0.130292,-0.126364,0.377883,0.755362,1.26996,0.144676,0.373532,0.62535,A
394,-0.00549,-0.259834,0.367214,-0.156667,-0.307984,-0.044076,0.270417,-0.029461,F
397,0.303106,0.352558,0.082701,0.703981,-0.10036,-0.119577,0.43803,-0.310094,F
398,-0.104241,-0.079257,0.011573,0.220903,0.190314,0.52218,0.223451,0.562987,A
401,-0.030178,0.022808,0.157386,-0.771451,1.43606,0.52218,-1.33582,-0.466001,H
404,-0.178304,0.258344,-0.12357,0.228303,0.979286,0.975185,0.875673,0.251173,F
406,-0.178304,-0.620989,0.32098,0.699028,-0.141884,0.295677,0.498432,0.687713,E
410,-0.363462,0.23479,0.000904,0.759778,1.519109,0.635431,-0.958209,-0.216549,G
411,0.043885,-0.173471,0.285416,-0.775121,-0.681707,0.257927,-1.755115,-0.996086,F
413,0.105604,0.556689,-0.031104,0.619301,0.979286,0.333428,-0.098495,-0.247731,A
415,-0.030178,-0.063555,0.274747,-0.394925,0.439463,0.333428,-0.623332,0.157628,F
418,0.09326,0.2976,-0.013322,0.1091,-1.055431,0.257927,0.724834,-0.185368,A
419,-0.573307,0.376111,0.057807,0.047395,-0.930856,0.52218,0.610769,0.500624,G
421,0.463576,0.109171,0.224957,-1.411178,1.062336,0.295677,-0.491269,0.001721,A
422,-0.030178,-0.063555,0.274747,-0.394925,-0.972381,-0.119577,-0.101233,0.032902,F
423,-0.079554,0.250492,0.388552,-0.002584,-0.681707,-0.006326,0.421915,0.937165,E
425,-0.116585,0.305451,0.036468,-0.41038,-1.263055,0.220177,-0.085138,0.781258,H
427,0.056229,-0.087108,0.089814,1.312409,-0.141884,0.333428,1.380124,0.874802,A
428,0.290762,0.156278,0.136047,1.401386,0.14879,-0.081827,0.929357,0.251173,A
429,0.006853,-0.055704,0.335206,1.778897,0.356414,-0.232828,0.590499,0.344717,A
431,0.043885,0.69801,0.022242,0.912997,0.314889,0.446679,1.010066,0.001721,F
432,0.019197,-0.087108,0.384996,0.794958,1.145386,0.182426,-0.184447,0.219991,A
434,0.130292,-0.024299,0.246296,0.121006,-0.10036,0.106925,-0.555651,-0.65309,A
435,0.179667,-0.173471,0.121822,-1.139205,-0.515608,0.295677,-0.557786,-0.310094,A
436,0.179667,-0.212727,0.132491,-1.306507,-0.391033,0.597681,0.750327,0.937165,A
437,0.09326,0.054213,0.374326,0.378926,1.145386,0.144676,-0.4052,-0.933723,H
439,0.192011,0.509582,0.079145,1.072093,1.186911,0.144676,0.578171,0.500624,A
441,-0.301743,0.352558,0.288973,1.638181,0.06574,0.333428,0.932424,0.032902,E
442,0.031541,0.36826,-0.027547,0.237135,0.06574,0.182426,0.35699,0.157628,A
443,0.142636,0.203385,-0.006209,-0.834827,1.560634,0.220177,-0.112047,-0.403638,A
444,0.043885,-0.157769,0.328093,0.552225,0.314889,-0.006326,0.176175,-0.466001,A
445,0.142636,0.43107,0.032912,-0.486796,-0.01731,0.597681,-0.326432,0.594169,G
446,0.031541,-0.118513,0.374326,-0.066706,0.107265,0.031425,0.138664,0.18881,A
448,0.043885,0.407516,0.047137,0.460921,-0.847807,-0.044076,1.123161,0.219991,F
449,-0.301743,-0.055704,0.210732,-0.147477,0.14879,0.710932,-0.223841,0.812439,E
451,0.451232,-0.267686,0.335206,-0.831336,0.024215,0.106925,0.710662,-0.154186,A
454,0.266074,0.556689,-0.020434,0.176624,-0.640182,0.597681,1.138053,0.500624,G
455,-0.597995,-0.071406,0.352988,0.220844,1.643684,0.106925,-0.492162,0.62535,E
459,0.229043,0.124874,0.182281,0.686496,1.477585,0.408929,-0.704838,-0.559546,A
461,0.105604,-0.377602,0.260522,0.107578,0.190314,-0.270579,0.353379,0.313536,F
463,0.216699,-0.424709,0.306755,-0.043283,-0.681707,0.257927,-0.298163,-1.027268,A
465,-0.215336,-0.142067,0.096927,-0.184417,-1.180006,0.446679,0.235935,0.843621,E
466,-0.215336,-0.204876,0.456124,-0.099826,-0.474083,0.069175,0.717165,0.843621,E
467,0.068573,-0.087108,0.470349,-0.099617,-0.224934,0.597681,0.70837,0.874802,A
470,-0.079554,0.313302,0.139604,0.295528,1.685209,0.069175,-0.057431,-0.060642,A
472,0.142636,-0.330495,0.299642,0.418282,0.937762,0.295677,-0.299056,-0.43482,A
476,0.15498,-0.275537,0.417003,0.813815,-0.972381,0.446679,-0.411938,-0.808997,A
478,-0.252367,0.069915,0.246296,0.52355,-0.058835,0.52218,0.104648,0.282354,E
479,0.056229,0.054213,0.392108,-0.02896,-0.224934,0.333428,0.176932,0.843621,H
480,0.15498,-0.275537,0.417003,0.813815,0.356414,0.031425,0.039219,0.157628,A
481,0.006853,-0.668096,0.477462,1.62168,1.477585,0.106925,0.373397,-0.091823,A
482,-0.32643,-0.157769,0.424116,1.924954,1.560634,0.446679,1.037287,1.311343,X
484,0.303106,0.352558,0.082701,0.703981,-0.764757,0.371178,1.079399,-0.185368,F
486,0.019197,-0.173471,0.306755,-0.081535,-1.055431,-0.119577,0.405587,-0.310094,F
487,0.438888,0.289748,0.14316,-0.282494,0.605563,0.333428,-0.40054,0.251173,A
492,0.229043,-0.008597,0.175168,0.087408,-0.598658,0.861934,0.572753,-0.154186,A
494,0.229043,-0.369751,0.484575,0.250174,-0.183409,0.371178,-0.31055,-0.808997,A
495,-0.079554,-0.291239,0.388552,0.855618,0.439463,0.106925,0.339283,-0.185368,F
496,-0.449869,-0.291239,0.434785,-0.068824,-0.681707,0.144676,0.277737,0.531806,E
497,0.25373,0.336855,0.086258,-0.979571,0.06574,0.144676,-0.616265,0.750076,G
498,0.364825,0.195534,0.175168,-0.027618,-0.557133,0.52218,0.790905,0.40708,A
499,-0.00549,0.760819,-0.095119,-0.016936,0.024215,0.182426,-0.482066,0.438262,F
501,0.15498,-0.275537,0.417003,0.813815,0.564038,0.710932,1.079748,0.656532,A
506,0.204355,-0.134216,0.043581,-0.654873,1.35301,0.55993,-1.577988,-1.151994,E
507,0.080916,0.313302,0.079145,0.588985,-0.141884,0.257927,0.880721,0.18881,F
509,0.080916,0.164129,0.19295,0.819007,1.26996,0.748682,-0.285601,-0.123005,A
510,0.377169,0.179832,0.064919,-1.533962,0.14879,-0.119577,0.50544,-0.091823,A
512,-0.314087,-0.157769,0.043581,1.051505,0.024215,0.220177,0.398656,-0.029461,E
515,0.031541,0.446772,0.072032,0.600056,-0.10036,0.106925,-0.41384,-0.497183,F
517,0.364825,-0.149918,0.171611,0.04277,-0.515608,-0.006326,0.01858,0.001721,F
518,0.080916,0.650903,-0.023991,0.472826,0.813187,0.106925,-0.858414,-0.466001,A
520,0.019197,-0.283388,0.214288,0.857677,-0.432558,-0.044076,0.473852,0.562987,A
521,0.056229,-0.016448,0.345875,-0.053786,-0.515608,-0.006326,0.749357,0.469443,A
523,0.303106,-0.354049,0.306755,-0.918463,-0.598658,0.031425,0.071351,0.064084,F
524,0.266074,-0.16562,0.32098,0.483299,0.647088,0.220177,0.244983,-0.310094,A
525,-0.190648,-0.691649,0.28186,-0.194472,-0.01731,0.295677,-0.022329,0.469443,E
527,0.031541,0.195534,0.246296,0.627208,-1.013906,0.371178,0.763393,0.874802,H
529,0.130292,0.336855,0.100483,0.382834,0.06574,-0.119577,-0.680763,-0.964905,A
530,-0.128929,-0.134216,0.264078,0.430695,0.024215,0.257927,0.44071,0.095265,F
533,0.229043,0.807926,-0.052442,0.082634,0.564038,0.333428,-0.449778,-0.43482,F
537,-0.314087,-0.063555,0.42056,0.003921,-0.640182,0.748682,-0.195204,0.375899,D
538,-0.054866,0.179832,0.239183,-1.170087,-0.224934,0.333428,1.316655,0.999528,E
539,-0.054866,0.226939,0.32098,-0.905841,-0.266459,-0.081827,-1.293319,-0.029461,H
541,0.080916,0.650903,-0.023991,0.472826,0.813187,0.295677,-0.525382,0.126447,A
542,0.056229,0.007106,0.406334,0.455401,-0.598658,0.295677,0.856121,0.344717,A
544,0.130292,-0.314793,0.417003,1.051058,0.024215,-0.006326,1.1046,0.843621,A
546,-0.178304,0.902141,-0.041773,0.593103,0.356414,0.786433,0.114822,0.001721,F
547,-0.153617,-0.840822,0.139604,-0.971903,-0.183409,0.069175,-1.656116,-0.123005,X
549,-0.22768,0.250492,0.207175,-0.481276,-0.515608,0.408929,-1.516189,-0.43482,E
550,0.130292,0.533135,-0.045329,-0.942602,-0.432558,0.220177,-1.213444,-0.341275,G
551,0.352481,0.211237,0.306755,-0.946242,0.14879,0.182426,-0.846299,-0.559546,A
552,-0.104241,0.23479,0.214288,0.314028,0.107265,0.748682,0.613623,0.812439,H
